"event","pathogen","start_date","end_date","country","cuml_cases","cuml_confirmed_cases","cuml_deaths","cuml_confirmed_deaths","source"
"Acute flaccid myelitis of uncertain etiology_Canada_2018","Acute flaccid myelitis of uncertain etiology","2018-01-01","2019-03-06","",77,"","","","PHAC acute flaccid myelitis (AFM)"
"Acute flaccid myelitis of uncertain etiology_Canada_2018","Acute flaccid myelitis of uncertain etiology","2018-01-01","2019-03-06","Canada",77,"","","","PHAC acute flaccid myelitis (AFM)"
"Acute flaccid myelitis of uncertain etiology_United Kingdom_2018","Acute flaccid myelitis of uncertain etiology","2018-03-01","2018-12-31","",40,"","","","Eurosurveillance"
"Acute flaccid myelitis of uncertain etiology_United Kingdom_2018","Acute flaccid myelitis of uncertain etiology","2018-03-01","2018-12-31","United Kingdom",40,"","","","Eurosurveillance"
"Acute flaccid myelitis of uncertain etiology_United States_2015","Acute flaccid myelitis of uncertain etiology","2015-01-01","2015-12-31","",22,"","","","CDC AFM Investigation"
"Acute flaccid myelitis of uncertain etiology_United States_2015","Acute flaccid myelitis of uncertain etiology","2015-01-01","2015-12-31","United States",22,"","","","CDC AFM Investigation"
"Acute flaccid myelitis of uncertain etiology_United States_2016","Acute flaccid myelitis of uncertain etiology","2016-01-01","2016-12-31","",149,"","","","CDC AFM Investigation"
"Acute flaccid myelitis of uncertain etiology_United States_2016","Acute flaccid myelitis of uncertain etiology","2016-01-01","2016-12-31","United States",149,"","","","CDC AFM Investigation"
"Acute flaccid myelitis of uncertain etiology_United States_2017","Acute flaccid myelitis of uncertain etiology","2017-01-01","2017-12-31","",33,"","","","CDC AFM Investigation"
"Acute flaccid myelitis of uncertain etiology_United States_2017","Acute flaccid myelitis of uncertain etiology","2017-01-01","2017-12-31","United States",33,"","","","CDC AFM Investigation"
"Acute flaccid myelitis of uncertain etiology_United States_2018","Acute flaccid myelitis of uncertain etiology","2018-01-01","2018-12-31","",227,"","","","CDC AFM Investigation"
"Acute flaccid myelitis of uncertain etiology_United States_2018","Acute flaccid myelitis of uncertain etiology","2018-01-01","2018-12-31","United States",227,"","","","CDC AFM Investigation"
"Alaskapox virus_United States_2015","Alaskapox virus","2015-07-01","2015-07-31","",1,"1","0","","State of Alaska Epidemiology Bulletin"
"Alaskapox virus_United States_2015","Alaskapox virus","2015-07-01","2015-07-31","United States",1,"1","0","","State of Alaska Epidemiology Bulletin"
"Alaskapox virus_United States_2020","Alaskapox virus","2020-08-01","2020-08-31","",1,"1","0","","State of Alaska Epidemiology Bulletin"
"Alaskapox virus_United States_2020","Alaskapox virus","2020-08-01","2020-08-31","United States",1,"1","0","","State of Alaska Epidemiology Bulletin"
"Alongshan virus_China_2017","Alongshan virus","2017-04-01","2017-09-30","",87,"87","","","The New England Journal of Medicine"
"Alongshan virus_China_2017","Alongshan virus","2017-04-01","2017-09-30","China",87,"87","","","The New England Journal of Medicine"
"Babesia sp._United Kingdom_2020","Babesia sp.","2020-07-31","2020-07-31","",1,"1","","","Public Health England News"
"Babesia sp._United Kingdom_2020","Babesia sp.","2020-07-31","2020-07-31","United Kingdom",1,"1","","","Public Health England News"
"Bacillus anthracis_Kenya_2019","Bacillus anthracis","2019-04-14","2019-05-07","",38,"","2","","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Bacillus anthracis_Kenya_2019","Bacillus anthracis","2019-04-14","2019-05-07","Kenya",38,"","2","","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Bacillus anthracis_Lesotho_2019","Bacillus anthracis","2019-05-11","2019-05-30","",20,"0","0","","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Bacillus anthracis_Lesotho_2019","Bacillus anthracis","2019-05-11","2019-05-30","Lesotho",20,"0","0","","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Bacillus anthracis_Namibia_2019","Bacillus anthracis","2019-08-29","2019-10-14","",115,"","0","","Media"
"Bacillus anthracis_Namibia_2019","Bacillus anthracis","2019-08-29","2019-10-14","Namibia",115,"","0","","Media"
"Bacillus anthracis_Thailand_2017","Bacillus anthracis","2017-11-28","2017-11-28","",3,"","","","Media"
"Bacillus anthracis_Thailand_2017","Bacillus anthracis","2017-11-28","2017-11-28","Thailand",3,"","","","Media"
"Bacillus anthracis_Zimbabwe_2019","Bacillus anthracis","2019-05-06","2021-12-31","",1053,"0","3","","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
"Bacillus anthracis_Zimbabwe_2019","Bacillus anthracis","2019-05-06","2021-12-31","Zimbabwe",1053,"0","3","","WHO AFRO Weekly Bulletin on Outbreaks and Other Emergencies"
